source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
opencv_vtest.avi,495,walking_smoke_dense,162.092,163.122,172.807,1.0,158.241,0.0,0.9741,17.908,12.632,17.908,0,0.0,0.0,0.0,0.0,0,top,0,0,0,1,1
opencv_vtest.avi,500,walking_smoke_dense,171.493,177.237,178.574,1.0,171.475,0.0,0.5316,8.507,4.08,8.507,0,18.802,28.229,11.534,28.229,0,top,0,0,1,0,1
opencv_vtest.avi,505,walking_smoke_dense,113.655,108.191,167.471,1.1767,140.206,-31.269,0.6087,66.345,9.809,66.345,0,115.675,138.092,22.206,138.092,0,descending,0,0,1,1,1
opencv_vtest.avi,510,walking_smoke_dense,174.425,176.693,179.783,1.0,37.875,0.0,1.5711,5.575,11.405,11.405,0,121.54,137.004,24.624,137.004,0,top,0,0,0,1,1
opencv_vtest.avi,515,walking_smoke_dense,169.463,146.0,152.094,1.0,33.732,0.0,0.3775,10.537,27.343,27.343,0,9.923,61.386,55.379,61.386,0,top,0,0,1,1,1
opencv_vtest.avi,520,walking_smoke_dense,145.474,139.811,159.498,0.898,9.674,-24.058,0.7568,34.526,21.248,34.526,0,47.98,12.376,14.808,47.98,0,descending,1,0,0,1,1
opencv_vtest.avi,525,walking_smoke_dense,143.066,122.15,145.223,0.9885,31.757,-1.975,0.918,36.934,49.373,49.373,0,4.814,35.322,28.55,35.322,0,descending,0,0,0,1,1
opencv_vtest.avi,530,walking_smoke_dense,142.326,127.777,148.125,1.0014,51.567,17.835,0.8697,37.674,25.148,37.674,0,1.481,11.252,5.805,11.252,0,descending,0,1,0,1,1
opencv_vtest.avi,535,walking_smoke_dense,170.282,155.267,160.568,1.0,29.712,0.0,1.3176,9.718,2.642,9.718,0,55.912,54.982,24.885,55.912,0,top,0,0,0,0,0
opencv_vtest.avi,540,walking_smoke_dense,179.142,175.057,175.503,1.0,32.798,0.0,0.5701,0.858,16.278,16.278,0,17.72,39.579,29.871,39.579,0,top,0,0,1,1,1
opencv_vtest.avi,545,walking_smoke_dense,165.572,179.735,172.285,0.7902,111.548,78.75,0.107,14.428,5.134,14.428,0,27.14,9.357,6.437,27.14,0,top,1,1,1,1,1
opencv_vtest.avi,555,walking_smoke_dense,178.296,179.144,178.321,1.0,176.314,0.0,0.6386,1.704,6.452,6.452,0,12.724,0.591,6.036,12.724,0,top,0,0,1,0,1
opencv_vtest.avi,560,walking_smoke_dense,165.643,175.282,176.884,1.157,155.409,-20.905,0.7485,14.357,16.688,16.688,0,25.307,7.725,2.873,25.307,0,top,0,0,1,1,1
opencv_vtest.avi,565,walking_smoke_dense,179.064,175.532,175.058,1.0,165.338,0.0,1.8654,0.936,13.811,13.811,0,26.842,0.501,3.654,26.842,0,top,0,0,0,1,1
opencv_vtest.avi,570,walking_smoke_dense,177.861,177.102,178.118,1.0,167.306,0.0,0.491,2.139,3.779,3.779,0,2.405,3.14,6.121,6.121,0,top,0,0,1,0,1
opencv_vtest.avi,575,walking_smoke_dense,178.294,174.227,173.545,1.0,156.835,0.0,0.8376,1.706,2.418,2.418,0,0.866,5.75,9.147,9.147,0,top,0,0,0,0,0
opencv_vtest.avi,580,walking_smoke_dense,170.416,149.32,153.932,1.0,140.832,0.0,0.1503,9.584,13.123,13.123,0,15.755,49.814,39.225,49.814,0,top,0,0,1,1,1
opencv_vtest.avi,635,walking_smoke_dense,176.582,177.443,175.392,1.0,110.431,0.0,0.8544,3.418,3.572,3.572,0,1.121,5.113,3.902,5.113,0,top,0,0,0,0,0
opencv_vtest.avi,640,walking_smoke_dense,179.75,174.382,174.247,1.0,96.934,0.0,1.0566,0.25,2.075,2.075,0,6.336,6.123,2.291,6.336,0,top,0,0,0,0,0
opencv_vtest.avi,645,walking_smoke_dense,178.241,172.528,173.552,1.0,66.682,0.0,1.3317,1.759,0.103,1.759,0,3.018,3.708,1.39,3.708,0,top,0,0,0,0,0
opencv_vtest.avi,650,walking_smoke_dense,176.505,179.815,178.318,1.0,73.588,0.0,1.0736,3.495,5.035,5.035,0,3.472,14.574,9.531,14.574,0,top,0,0,0,0,0
opencv_vtest.avi,655,walking_smoke_dense,170.04,178.996,173.597,1.0,2.746,0.0,0.5795,9.96,6.887,9.96,0,12.93,1.638,9.441,12.93,0,top,0,0,1,0,1
opencv_vtest.avi,660,walking_smoke_dense,163.38,150.075,159.373,0.9675,22.001,19.255,0.7116,16.62,7.06,16.62,0,13.319,57.842,28.448,57.842,0,top,0,1,1,1,1
opencv_vtest.avi,665,walking_smoke_dense,124.414,134.054,165.172,1.031,31.59,28.844,0.4129,55.586,28.116,55.586,0,77.932,32.042,11.597,77.932,0,descending,0,1,1,1,1
