source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
pushup_cdc_01.webm,15,pushup_cdc,175.257,172.748,174.885,1.0,73.799,0.0,1.0313,4.743,3.254,4.743,0,0.0,0.0,0.0,0.0,0,top,0,0,0,0,0
pushup_cdc_01.webm,30,pushup_cdc,175.977,172.822,174.718,1.0,73.272,0.0,1.0268,4.023,3.199,4.023,0,1.437,0.149,0.334,1.437,0,top,0,0,0,0,0
pushup_cdc_01.webm,45,pushup_cdc,176.34,173.324,175.032,1.0,73.782,0.0,1.0376,3.66,2.771,3.66,0,0.725,1.002,0.628,1.002,0,top,0,0,0,0,0
pushup_cdc_01.webm,60,pushup_cdc,176.94,173.955,175.368,1.0,73.102,0.0,1.0485,3.06,1.915,3.06,0,1.198,1.261,0.67,1.261,0,top,0,0,0,0,0
pushup_cdc_01.webm,75,pushup_cdc,177.278,174.289,175.545,1.0,72.832,0.0,1.0504,2.722,1.687,2.722,0,0.675,0.667,0.354,0.675,0,top,0,0,0,0,0
pushup_cdc_01.webm,90,pushup_cdc,177.355,174.317,175.539,1.0,72.876,0.0,1.0544,2.645,1.394,2.645,0,0.154,0.056,0.011,0.154,0,top,0,0,0,0,0
pushup_cdc_01.webm,105,pushup_cdc,177.304,174.15,175.398,1.0,72.486,0.0,1.0462,2.696,1.581,2.696,0,0.102,0.333,0.282,0.333,0,top,0,0,0,0,0
pushup_cdc_01.webm,120,pushup_cdc,176.103,173.832,175.636,1.0,73.55,0.0,1.0653,3.897,1.692,3.897,0,2.397,0.635,0.475,2.397,0,top,0,0,0,0,0
pushup_cdc_01.webm,135,pushup_cdc,176.084,174.27,176.081,1.0,72.72,0.0,1.0554,3.916,2.196,3.916,0,0.039,0.873,0.887,0.887,0,top,0,0,0,0,0
pushup_cdc_01.webm,150,pushup_cdc,175.919,174.221,176.111,1.0,72.934,0.0,1.0526,4.081,2.356,4.081,0,0.328,0.097,0.061,0.328,0,top,0,0,0,0,0
pushup_cdc_01.webm,165,pushup_cdc,175.253,174.045,176.24,1.0,76.111,0.0,1.0635,4.747,2.288,4.747,0,1.33,0.353,0.257,1.33,0,top,0,0,0,0,0
pushup_cdc_01.webm,180,pushup_cdc,174.662,173.142,175.631,1.0,77.902,0.0,1.1219,5.338,0.62,5.338,0,1.181,1.802,1.216,1.802,0,top,0,0,0,0,0
pushup_cdc_01.webm,195,pushup_cdc,175.845,173.782,175.716,1.0,75.835,0.0,1.1023,4.155,0.985,4.155,0,2.362,1.277,0.171,2.362,0,top,0,0,0,0,0
pushup_cdc_01.webm,210,pushup_cdc,174.845,173.026,175.436,1.0,75.545,0.0,1.0906,5.155,2.365,5.155,0,1.995,1.509,0.56,1.995,0,top,0,0,0,0,0
pushup_cdc_01.webm,225,pushup_cdc,174.894,173.25,175.642,1.0,75.476,0.0,1.0842,5.106,2.667,5.106,0,0.097,0.446,0.411,0.446,0,top,0,0,0,0,0
pushup_cdc_01.webm,240,pushup_cdc,174.813,173.333,175.763,1.0,75.816,0.0,1.0924,5.187,2.476,5.187,0,0.162,0.166,0.242,0.242,0,top,0,0,0,0,0
pushup_cdc_01.webm,255,pushup_cdc,176.872,172.704,174.162,1.0,74.56,0.0,1.0533,3.128,2.188,3.128,0,4.112,1.256,3.197,4.112,0,top,0,0,0,0,0
pushup_cdc_01.webm,270,pushup_cdc,176.665,172.792,174.325,1.0,75.758,0.0,1.0616,3.335,1.36,3.335,0,0.415,0.176,0.325,0.415,0,top,0,0,0,0,0
pushup_cdc_01.webm,285,pushup_cdc,176.607,173.095,174.656,1.0,76.57,0.0,1.0658,3.393,1.544,3.393,0,0.115,0.605,0.662,0.662,0,top,0,0,0,0,0
pushup_cdc_01.webm,300,pushup_cdc,176.197,173.023,174.776,1.0,76.952,0.0,1.0725,3.803,1.547,3.803,0,0.819,0.145,0.24,0.819,0,top,0,0,0,0,0
pushup_cdc_01.webm,315,pushup_cdc,176.133,173.145,174.933,1.0,77.09,0.0,1.0659,3.867,1.733,3.867,0,0.127,0.243,0.313,0.313,0,top,0,0,0,0,0
pushup_cdc_01.webm,345,pushup_cdc,171.453,171.034,175.202,1.0,16.5,0.0,1.1998,8.547,6.138,8.547,0,4.672,2.107,0.269,4.672,0,top,0,0,0,0,0
pushup_cdc_01.webm,360,pushup_cdc,173.12,168.292,171.721,1.0,28.422,0.0,1.1528,6.88,5.395,6.88,0,3.328,5.475,6.951,6.951,0,top,0,0,0,0,0
