source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
squat_wikimedia_01.webm,0,squat_wikimedia,173.278,172.189,175.562,1.0,176.021,0.0,1.025,6.722,19.416,19.416,0,0.0,0.0,0.0,0.0,0,top,0,0,0,1,1
squat_wikimedia_01.webm,3,squat_wikimedia,174.482,174.158,176.849,1.0,178.227,0.0,0.9293,5.518,13.234,13.234,0,12.037,19.695,12.865,19.695,0,top,0,0,0,1,1
squat_wikimedia_01.webm,6,squat_wikimedia,175.149,176.385,178.682,1.0,174.117,0.0,0.798,4.851,6.427,6.427,0,6.667,22.262,18.337,22.262,0,top,0,0,0,0,0
squat_wikimedia_01.webm,9,squat_wikimedia,176.405,179.763,178.068,1.0,174.229,0.0,0.7461,3.595,2.368,3.595,0,12.561,33.784,6.14,33.784,0,top,0,0,1,0,1
squat_wikimedia_01.webm,12,squat_wikimedia,177.174,178.041,176.719,1.0,174.667,0.0,0.7301,2.826,0.508,2.826,0,7.695,17.217,13.488,17.217,0,top,0,0,1,0,1
squat_wikimedia_01.webm,15,squat_wikimedia,177.405,177.501,176.288,1.0,171.272,0.0,0.7174,2.595,0.658,2.595,0,2.306,5.399,4.317,5.399,0,top,0,0,1,0,1
squat_wikimedia_01.webm,18,squat_wikimedia,176.787,177.333,175.838,1.0,171.43,0.0,0.7015,3.213,0.93,3.213,0,6.179,1.685,4.497,6.179,0,top,0,0,1,0,1
squat_wikimedia_01.webm,21,squat_wikimedia,176.573,177.174,175.572,1.0,168.919,0.0,0.7269,3.427,0.21,3.427,0,2.139,1.591,2.656,2.656,0,top,0,0,1,0,1
squat_wikimedia_01.webm,24,squat_wikimedia,176.16,177.302,175.505,1.0,171.669,0.0,0.7248,3.84,0.107,3.84,0,4.133,1.286,0.676,4.133,0,top,0,0,1,0,1
squat_wikimedia_01.webm,27,squat_wikimedia,175.974,177.142,175.249,1.0,166.239,0.0,0.7216,4.026,0.213,4.026,0,1.861,1.603,2.562,2.562,0,top,0,0,1,0,1
squat_wikimedia_01.webm,30,squat_wikimedia,176.021,177.014,175.143,1.0,166.44,0.0,0.7289,3.979,0.059,3.979,0,0.477,1.279,1.056,1.279,0,top,0,0,1,0,1
squat_wikimedia_01.webm,33,squat_wikimedia,175.876,177.194,175.248,1.0,161.047,0.0,0.7338,4.124,0.288,4.124,0,1.448,1.794,1.052,1.794,0,top,0,0,1,0,1
squat_wikimedia_01.webm,36,squat_wikimedia,174.959,178.423,176.043,1.0,157.184,0.0,0.7971,5.041,4.037,5.041,0,9.179,12.295,7.947,12.295,0,top,0,0,0,0,0
squat_wikimedia_01.webm,39,squat_wikimedia,172.797,178.46,177.916,1.0,162.539,0.0,0.9963,7.203,18.065,18.065,0,21.612,0.364,18.727,21.612,0,top,0,0,0,1,1
squat_wikimedia_01.webm,42,squat_wikimedia,170.153,174.855,179.912,1.0,174.067,0.0,1.1407,9.847,31.581,31.581,0,26.44,36.049,19.962,36.049,0,top,0,0,0,1,1
squat_wikimedia_01.webm,45,squat_wikimedia,166.129,169.759,177.483,0.9907,172.506,-1.561,1.1686,13.871,41.53,41.53,0,40.243,50.96,24.288,50.96,0,top,0,0,0,1,1
squat_wikimedia_01.webm,48,squat_wikimedia,161.347,164.533,175.07,0.9777,170.142,-3.925,1.2283,18.653,57.181,57.181,0,47.822,52.255,24.134,52.255,0,top,0,0,0,1,1
squat_wikimedia_01.webm,51,squat_wikimedia,155.237,156.419,172.375,0.9478,179.372,5.305,1.1985,24.763,67.873,67.873,0,61.1,81.145,26.95,81.145,0,descending,0,1,0,1,1
squat_wikimedia_01.webm,54,squat_wikimedia,141.561,139.67,169.475,0.9199,163.06,-11.007,1.2289,38.439,87.706,87.706,0,136.763,167.483,28.993,167.483,0,descending,1,0,0,1,1
squat_wikimedia_01.webm,57,squat_wikimedia,122.319,119.882,167.566,0.9208,165.765,-8.302,1.2381,57.681,100.872,100.872,0,192.421,197.888,19.096,197.888,0,descending,1,0,0,1,1
