source,frame,label,knee_angle,hip_angle,back_angle,torso_length_ratio,heel_angle,heel_angle_delta,valgus_ratio,left_fppa,right_fppa,max_fppa,knee_over_toes,knee_velocity_dps,hip_velocity_dps,back_velocity_dps,max_angular_velocity_dps,rapid_movement,squat_phase,back_slack,heels_off,knee_valgus_ratio,knee_valgus_fppa,knee_valgus
test/Bad Back/Bad Back (1).jpg,0,bad_back,93.827,77.225,121.727,1.0,0.287,0.0,0.9961,86.173,81.322,86.173,1,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (10).jpg,0,bad_back,170.984,57.395,62.1,1.0,138.639,0.0,2.1835,9.016,11.076,11.076,0,0.0,0.0,0.0,0.0,0,top,0,0,0,1,1
test/Bad Back/Bad Back (100).jpg,0,bad_back,78.696,65.103,115.994,1.0557,8.77,-129.869,3.7665,101.304,85.205,101.304,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (101).jpg,0,bad_back,76.448,63.652,115.865,1.0405,4.915,-133.724,1.1004,103.552,94.257,103.552,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (102).jpg,0,bad_back,70.736,58.572,113.451,1.0572,5.815,-132.824,1.1476,109.264,103.734,109.264,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (103).jpg,0,bad_back,68.214,56.265,112.054,1.0403,5.98,-132.659,1.2498,111.786,103.378,111.786,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (104).jpg,0,bad_back,65.08,52.532,109.102,1.0532,8.357,-130.282,1.3641,114.92,104.811,114.92,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (105).jpg,0,bad_back,63.705,51.563,108.33,1.0434,9.458,-129.181,0.9526,116.295,109.523,116.295,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (106).jpg,0,bad_back,63.815,49.68,107.186,1.0245,7.589,-131.049,1.1507,116.185,106.75,116.185,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (107).jpg,0,bad_back,65.64,51.476,108.888,1.0032,4.241,-134.398,1.1332,114.36,106.318,114.36,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (108).jpg,0,bad_back,65.588,50.303,107.142,1.0053,5.075,-133.564,1.0217,114.412,108.683,114.412,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (109).jpg,0,bad_back,64.584,50.4,107.806,0.9948,1.878,-136.761,0.9847,115.416,108.196,115.416,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (11).jpg,0,bad_back,176.686,65.812,67.65,1.0,142.981,0.0,1.675,3.314,18.302,18.302,0,0.0,0.0,0.0,0.0,0,top,0,0,0,1,1
test/Bad Back/Bad Back (110).jpg,0,bad_back,65.744,51.759,110.95,0.978,2.671,-140.31,1.0493,114.256,107.387,114.256,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (111).jpg,0,bad_back,65.185,51.728,107.705,1.002,4.089,-138.892,1.1249,114.815,109.107,114.815,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (112).jpg,0,bad_back,67.285,55.05,110.712,0.9981,5.197,-137.784,1.0667,112.715,105.361,112.715,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (113).jpg,0,bad_back,70.036,58.337,112.916,0.9766,8.273,-134.708,1.4556,109.964,101.187,109.964,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (114).jpg,0,bad_back,74.036,62.387,115.81,0.9769,4.736,-138.246,1.2187,105.964,97.782,105.964,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (115).jpg,0,bad_back,75.989,66.708,119.071,0.9821,9.313,-133.668,1.184,104.011,96.017,104.011,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (116).jpg,0,bad_back,77.89,71.075,123.154,0.9845,4.014,-138.967,1.346,102.11,93.475,102.11,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (117).jpg,0,bad_back,81.535,75.347,127.808,0.9835,1.914,-141.067,0.8107,98.465,93.764,98.465,0,0.0,0.0,0.0,0.0,0,bottom,0,0,0,1,1
test/Bad Back/Bad Back (118).jpg,0,bad_back,88.384,83.657,128.836,0.9933,4.412,-138.569,0.5541,91.616,90.913,91.616,0,0.0,0.0,0.0,0.0,0,bottom,0,0,1,1,1
test/Bad Back/Bad Back (119).jpg,0,bad_back,83.508,65.395,115.017,0.9064,2.0,-140.982,0.5932,96.492,91.635,96.492,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Back/Bad Back (12).jpg,0,bad_back,119.325,173.273,134.72,0.7931,177.004,34.023,0.6609,60.675,28.619,60.675,1,0.0,0.0,0.0,0.0,0,descending,1,1,1,1,1
test/Bad Back/Bad Back (120).jpg,0,bad_back,80.741,63.296,113.388,0.9019,2.577,-140.404,0.7371,99.259,91.502,99.259,0,0.0,0.0,0.0,0.0,0,bottom,1,0,1,1,1
test/Bad Back/Bad Back (121).jpg,0,bad_back,77.056,59.564,111.567,0.9171,0.085,-142.896,0.8631,102.944,94.44,102.944,0,0.0,0.0,0.0,0.0,0,bottom,1,0,0,1,1
