source,frame,label,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
opencv_vtest.avi,495,walking_smoke_dense,0.743249,0.48362,-0.201276,0.9998,0.746655,0.481991,-0.195883,0.9995,0.747859,0.481984,-0.195871,0.9993,0.749079,0.482,-0.195894,0.9992,0.741636,0.47903,-0.200132,0.9998,0.73908,0.479221,-0.200162,0.9997,0.73794,0.47944,-0.200196,0.9998,0.749589,0.481953,-0.140959,0.9979,0.73359,0.48158,-0.160661,0.9997,0.74381,0.48823,-0.177904,0.9989,0.740755,0.487604,-0.18375,0.9996,0.752477,0.494868,-0.081955,0.9996,0.725122,0.497972,-0.122335,0.9999,0.75306,0.508344,-0.023485,0.3621,0.712201,0.520647,-0.111851,0.9784,0.756068,0.508986,-0.02251,0.4208,0.70687,0.546041,-0.130577,0.9318,0.756447,0.508754,-0.026552,0.3754,0.703261,0.554374,-0.140509,0.8665,0.756684,0.506565,-0.036829,0.3872,0.704547,0.554129,-0.152168,0.8657,0.756328,0.507318,-0.027174,0.3731,0.706821,0.551693,-0.135568,0.8316,0.741355,0.558056,0.014766,0.9998,0.728977,0.558493,-0.014896,0.9998,0.745042,0.588546,0.083977,0.5764,0.730662,0.590055,0.071872,0.8825,0.738141,0.624005,0.173876,0.7398,0.724115,0.628862,0.183748,0.9308,0.734848,0.629344,0.181892,0.6513,0.721452,0.633235,0.194289,0.8047,0.741114,0.631845,0.151062,0.8635,0.730732,0.638474,0.161814,0.9248
opencv_vtest.avi,500,walking_smoke_dense,0.776162,0.480413,-0.014686,0.9997,0.774623,0.476236,-0.009561,0.9992,0.77412,0.476306,-0.009561,0.999,0.773614,0.476402,-0.009538,0.999,0.774697,0.475396,-0.021765,0.9995,0.774162,0.475072,-0.021772,0.9995,0.773652,0.474747,-0.021817,0.9996,0.768214,0.476964,0.013302,0.9971,0.768381,0.475245,-0.04198,0.9995,0.773441,0.484966,-0.004736,0.9988,0.773337,0.484201,-0.020746,0.9995,0.758502,0.498142,0.043661,0.9993,0.76055,0.495286,-0.071616,0.9999,0.757007,0.537215,0.049889,0.3285,0.75251,0.525535,-0.095689,0.9742,0.767416,0.562972,0.02379,0.3823,0.765371,0.566554,-0.090721,0.9134,0.769824,0.570748,0.022301,0.3431,0.769673,0.569016,-0.102748,0.8493,0.772177,0.570624,0.012885,0.3537,0.76981,0.570213,-0.097952,0.8448,0.771005,0.568107,0.018419,0.3413,0.769099,0.567614,-0.088574,0.805,0.755107,0.566745,0.036527,0.9996,0.759944,0.565573,-0.036589,0.9998,0.755053,0.610739,0.078112,0.5423,0.772021,0.616109,0.00018,0.8914,0.74869,0.652925,0.128762,0.7319,0.78003,0.664697,0.047805,0.936,0.746343,0.65926,0.132828,0.6637,0.776243,0.670829,0.051583,0.8209,0.756964,0.657668,0.116773,0.8537,0.791123,0.666482,0.02731,0.9287
opencv_vtest.avi,505,walking_smoke_dense,0.748417,0.427401,0.02062,0.9997,0.745713,0.425792,0.011456,0.9992,0.744761,0.425765,0.011453,0.999,0.743727,0.425938,0.011459,0.9989,0.749285,0.426253,0.008924,0.9995,0.751436,0.426376,0.008926,0.9995,0.753799,0.426616,0.008866,0.9995,0.741382,0.432208,-0.014119,0.9971,0.758123,0.428291,-0.025928,0.9994,0.743997,0.450168,0.014178,0.9988,0.750822,0.432354,0.010635,0.9995,0.73204,0.451793,0.002359,0.9993,0.75579,0.46614,-0.05221,0.9999,0.728922,0.487075,0.052464,0.3098,0.752886,0.490876,-0.008232,0.9499,0.733714,0.483562,0.100112,0.3865,0.756876,0.493636,0.07469,0.8641,0.734112,0.485072,0.105623,0.3529,0.75876,0.494147,0.078669,0.8039,0.737025,0.483673,0.098755,0.3618,0.7581,0.492423,0.07585,0.7981,0.736927,0.483206,0.098218,0.3437,0.756515,0.492418,0.075629,0.7619,0.740067,0.532215,0.029269,0.9996,0.753938,0.533391,-0.029358,0.9998,0.737105,0.533527,0.13068,0.5131,0.770632,0.586909,0.007161,0.901,0.737198,0.556173,0.243721,0.6878,0.779072,0.650882,0.041632,0.9415,0.739023,0.562873,0.255684,0.6486,0.77679,0.659368,0.045673,0.8382,0.745771,0.568494,0.259689,0.7819,0.789398,0.654728,0.026216,0.9288
opencv_vtest.avi,510,walking_smoke_dense,0.715721,0.402202,0.015991,0.9996,0.714914,0.400127,0.005316,0.9991,0.714123,0.400107,0.005294,0.9989,0.713762,0.400292,0.005278,0.9988,0.717163,0.40016,0.006414,0.9993,0.717767,0.400125,0.006433,0.9993,0.71851,0.400086,0.006418,0.9993,0.714044,0.400661,-0.024221,0.9973,0.721334,0.400166,-0.020434,0.9991,0.715037,0.405615,0.008213,0.9987,0.717575,0.405234,0.009225,0.9993,0.708472,0.422458,-0.040843,0.9993,0.73478,0.422909,-0.019514,0.9998,0.708966,0.453885,-0.023225,0.3749,0.746749,0.460688,0.007327,0.9215,0.707353,0.471395,0.093761,0.3854,0.748487,0.468561,0.045046,0.7853,0.707471,0.477715,0.089122,0.3459,0.746558,0.47309,0.045031,0.7302,0.708838,0.477121,0.029816,0.3512,0.743616,0.473513,0.043827,0.7245,0.710257,0.475232,0.038884,0.3313,0.743135,0.472159,0.044508,0.6914,0.718094,0.490721,-0.014273,0.9996,0.724577,0.489208,0.014207,0.9997,0.72023,0.516611,0.105425,0.5512,0.723518,0.511024,0.115186,0.8771,0.726018,0.54849,0.198751,0.7117,0.72953,0.550656,0.213253,0.9308,0.728293,0.557355,0.208985,0.6761,0.731024,0.558074,0.224254,0.8442,0.717146,0.548685,0.205444,0.7833,0.724611,0.550037,0.225168,0.9009
opencv_vtest.avi,515,walking_smoke_dense,0.683826,0.391176,0.023496,0.996,0.683569,0.387024,0.014932,0.9947,0.683268,0.386933,0.014893,0.9956,0.68294,0.386917,0.014907,0.9957,0.685068,0.386142,0.020994,0.9903,0.685771,0.385902,0.021046,0.9907,0.686356,0.385703,0.021038,0.9868,0.684326,0.387743,-0.016895,0.9946,0.68882,0.386847,0.01092,0.9769,0.683979,0.39394,0.012956,0.9911,0.685619,0.393818,0.020884,0.9822,0.683753,0.407186,-0.039773,0.9994,0.706872,0.405147,0.005174,0.9995,0.682716,0.435692,-0.047076,0.4344,0.706611,0.434406,-0.017314,0.8645,0.680104,0.457971,-0.030536,0.3837,0.701104,0.457991,-0.024703,0.7435,0.678636,0.463273,-0.031877,0.3365,0.707422,0.47858,0.040061,0.6933,0.679465,0.462806,-0.032152,0.3416,0.704366,0.480711,-0.014323,0.6834,0.67974,0.465459,-0.03119,0.327,0.701926,0.479131,-0.026916,0.6546,0.696079,0.467281,-0.013733,0.9996,0.70425,0.463406,0.01379,0.9994,0.686017,0.491682,0.035274,0.5913,0.702324,0.49464,0.080753,0.8822,0.678573,0.527089,0.099127,0.7334,0.721227,0.537469,0.108223,0.9354,0.680732,0.534866,0.105013,0.7009,0.722212,0.545296,0.112377,0.8586,0.67285,0.529603,0.100245,0.7734,0.723647,0.541639,0.10751,0.8878
opencv_vtest.avi,520,walking_smoke_dense,0.658951,0.371837,0.022803,0.9959,0.656274,0.37027,0.015156,0.9948,0.654663,0.370475,0.01515,0.9955,0.654276,0.370666,0.015151,0.9957,0.659266,0.369972,0.015458,0.9907,0.659954,0.369993,0.015465,0.991,0.661875,0.36997,0.015437,0.9875,0.654581,0.371399,-0.01133,0.9949,0.664033,0.370436,-0.010572,0.9787,0.658258,0.373445,0.014927,0.9917,0.661145,0.373017,0.015135,0.9837,0.6661,0.397669,-0.023589,0.9994,0.678818,0.390077,-0.018588,0.9995,0.660636,0.428472,-0.022907,0.4875,0.686886,0.420974,-0.022343,0.8004,0.64345,0.441152,-0.006791,0.4383,0.675656,0.438007,-0.023201,0.6824,0.641559,0.447687,-0.012,0.3869,0.67491,0.448616,-0.02068,0.6339,0.642974,0.446332,-0.011366,0.391,0.675613,0.448091,-0.025653,0.6247,0.644008,0.445165,-0.006836,0.3685,0.676309,0.445916,-0.023645,0.5994,0.676475,0.451774,-0.002291,0.9996,0.693052,0.448211,0.002203,0.9993,0.662899,0.475933,0.056746,0.6269,0.705629,0.458348,0.07199,0.847,0.666198,0.512233,0.119235,0.7465,0.718278,0.48036,0.128749,0.8781,0.666568,0.518685,0.125875,0.7162,0.71967,0.485707,0.135954,0.8322,0.661922,0.519477,0.119778,0.745,0.72014,0.478331,0.129181,0.817
opencv_vtest.avi,525,walking_smoke_dense,0.630422,0.362155,0.0024,0.9948,0.630327,0.359071,-0.005808,0.9943,0.630165,0.359151,-0.005821,0.995,0.630011,0.359256,-0.005835,0.9953,0.631351,0.35881,0.002625,0.9901,0.632161,0.358636,0.002641,0.9901,0.632822,0.358465,0.00263,0.9871,0.63223,0.36023,-0.032571,0.9946,0.636268,0.358677,0.004097,0.9793,0.630528,0.364368,-0.006662,0.9917,0.632095,0.363817,0.004176,0.9842,0.636729,0.378056,-0.06409,0.9995,0.651948,0.37396,0.026695,0.9994,0.635157,0.405977,-0.068448,0.5378,0.65208,0.400395,0.055643,0.7216,0.629739,0.429346,-0.031527,0.4879,0.650354,0.423743,0.076951,0.6152,0.627348,0.436073,-0.038332,0.4358,0.648609,0.427443,0.082722,0.5719,0.626902,0.435873,-0.034071,0.4388,0.647691,0.427756,0.075785,0.5636,0.62823,0.433479,-0.029086,0.4111,0.64811,0.426762,0.074252,0.5413,0.658864,0.434513,-0.025953,0.9996,0.669229,0.43376,0.025875,0.9993,0.644499,0.453968,0.020547,0.6347,0.647309,0.453221,0.074395,0.7869,0.644839,0.493526,0.07652,0.7346,0.647997,0.493767,0.125701,0.8268,0.647438,0.502479,0.082361,0.7005,0.653685,0.499299,0.131362,0.8083,0.63521,0.49491,0.080445,0.726,0.642058,0.490906,0.129946,0.7702
opencv_vtest.avi,530,walking_smoke_dense,0.612972,0.346516,0.025158,0.9944,0.612074,0.344709,0.014786,0.9941,0.611359,0.344944,0.014773,0.9949,0.610593,0.34515,0.014756,0.9951,0.614198,0.344146,0.016882,0.9902,0.614969,0.344031,0.016899,0.9904,0.615715,0.343916,0.016882,0.9873,0.61017,0.346507,-0.019034,0.9948,0.616711,0.344945,-0.008583,0.9805,0.612256,0.349229,0.015341,0.9921,0.614386,0.34872,0.018183,0.985,0.6061,0.366665,-0.040357,0.9995,0.63041,0.362906,-0.008581,0.9992,0.603201,0.394808,-0.060688,0.5826,0.631958,0.390482,0.016877,0.6682,0.599808,0.41165,0.013883,0.5256,0.630445,0.410854,0.045721,0.5592,0.599142,0.414985,0.010181,0.4645,0.630572,0.418153,0.046052,0.5192,0.600342,0.414148,0.011492,0.4666,0.630361,0.417769,0.043544,0.5115,0.600814,0.413122,0.015123,0.432,0.629039,0.414355,0.04501,0.4917,0.630272,0.423143,-0.01383,0.9995,0.634963,0.413098,0.013754,0.9988,0.616949,0.447126,0.053592,0.6618,0.63818,0.426964,0.092501,0.7315,0.621751,0.4788,0.131548,0.7152,0.633811,0.447368,0.168696,0.7611,0.624772,0.487093,0.139503,0.6678,0.634101,0.454338,0.177044,0.7633,0.615414,0.4753,0.128782,0.6826,0.625798,0.440796,0.176431,0.7102
opencv_vtest.avi,535,walking_smoke_dense,0.597807,0.330284,-0.003311,0.9939,0.597573,0.328625,-0.011386,0.9932,0.597274,0.32885,-0.011408,0.9943,0.596866,0.329038,-0.011413,0.9946,0.598388,0.328337,-0.007595,0.9895,0.599561,0.32807,-0.007581,0.9897,0.599742,0.328026,-0.007599,0.9867,0.595718,0.327622,-0.030197,0.9946,0.601349,0.329813,-0.018115,0.9809,0.598281,0.333183,-0.009907,0.9924,0.599108,0.333007,-0.005259,0.9859,0.594461,0.349758,-0.057359,0.9995,0.612662,0.34608,-0.00418,0.9991,0.589937,0.381202,-0.050141,0.6232,0.616583,0.37119,0.024917,0.624,0.590155,0.399477,-0.008247,0.5518,0.609008,0.390484,0.054916,0.5122,0.589634,0.406479,-0.011909,0.4816,0.607477,0.395494,0.058975,0.4752,0.590348,0.405698,-0.010253,0.4812,0.60684,0.395888,0.053727,0.4682,0.590715,0.402815,-0.006706,0.4442,0.607153,0.394084,0.053325,0.4511,0.607993,0.402689,-0.018197,0.9995,0.612427,0.399977,0.018145,0.9988,0.602816,0.430919,0.039299,0.6739,0.610492,0.428263,0.080515,0.691,0.602411,0.465339,0.097379,0.7185,0.606737,0.460947,0.139364,0.734,0.606282,0.474753,0.103091,0.6658,0.607664,0.469037,0.144948,0.7576,0.59202,0.466614,0.09716,0.6799,0.598823,0.46098,0.145134,0.6914
opencv_vtest.avi,540,walking_smoke_dense,0.584661,0.322647,0.017279,0.9916,0.584082,0.319584,0.007907,0.9899,0.583722,0.319623,0.007904,0.9906,0.583234,0.319698,0.007897,0.9908,0.585547,0.319372,0.01089,0.9878,0.586255,0.319228,0.010902,0.9881,0.586787,0.319149,0.010875,0.9855,0.583173,0.320974,-0.021183,0.9907,0.588012,0.320064,-0.007578,0.9786,0.58404,0.325602,0.008737,0.9873,0.585662,0.325321,0.012628,0.9822,0.57822,0.334854,-0.037844,0.9993,0.598375,0.336491,-0.006857,0.999,0.566215,0.351616,-0.008969,0.6427,0.604584,0.359223,0.009336,0.64,0.565811,0.351092,0.040989,0.5299,0.599244,0.376748,0.025802,0.5022,0.562687,0.353535,0.0433,0.4596,0.601143,0.380906,0.027034,0.4634,0.566911,0.35045,0.043435,0.4589,0.600658,0.380977,0.02241,0.4564,0.567831,0.350461,0.042289,0.424,0.600518,0.379147,0.024372,0.4384,0.585686,0.386416,-0.014444,0.9992,0.595328,0.385438,0.014373,0.9983,0.58743,0.416698,0.017995,0.6683,0.590994,0.415539,0.054595,0.6537,0.589832,0.449801,0.053706,0.6988,0.596129,0.451687,0.088754,0.6976,0.592079,0.456907,0.057374,0.6649,0.597073,0.458688,0.092424,0.7387,0.585074,0.452393,0.05077,0.651,0.594072,0.455121,0.085993,0.6503
