source,frame,label,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
test/Bad Back/Bad Back (1).jpg,0,bad_back,0.337697,0.271072,0.099157,0.9989,0.329202,0.245202,0.048404,0.9982,0.331154,0.240227,0.04809,0.9976,0.332739,0.235863,0.048304,0.9983,0.327577,0.250198,0.095821,0.9992,0.328338,0.248996,0.095033,0.9993,0.328645,0.247868,0.094787,0.9996,0.352115,0.214388,-0.071854,0.9987,0.348994,0.22554,0.141752,0.9995,0.355482,0.271704,0.073435,0.9955,0.355079,0.27698,0.131991,0.9959,0.425451,0.239802,-0.154067,0.9991,0.468334,0.252764,0.275276,0.9965,0.224271,0.286747,-0.210095,0.8022,0.283751,0.3025,0.262399,0.0145,0.063301,0.310097,-0.102943,0.7219,0.140156,0.302785,0.139986,0.0314,0.022393,0.325155,-0.145833,0.744,0.10023,0.305339,0.121874,0.0481,0.022097,0.313712,-0.121293,0.7341,0.093796,0.307771,0.094798,0.0465,0.03911,0.309053,-0.091028,0.6556,0.104495,0.308397,0.121183,0.0445,0.658922,0.541778,-0.134132,0.9997,0.700362,0.515748,0.133429,0.9996,0.431775,0.647382,0.008024,0.7967,0.491307,0.60074,0.352699,0.018,0.526877,0.893756,0.128699,0.9315,0.54366,0.819708,0.537972,0.067,0.55795,0.930673,0.139401,0.9572,0.571099,0.861827,0.555158,0.1463,0.401369,0.929889,0.102742,0.9396,0.449298,0.844221,0.534349,0.1409
test/Bad Back/Bad Back (10).jpg,0,bad_back,0.663148,0.632912,-0.090895,0.9818,0.689587,0.633181,-0.114559,0.9802,0.695826,0.63027,-0.114973,0.9737,0.701398,0.627079,-0.11503,0.9826,0.677511,0.637198,-0.140991,0.987,0.674558,0.637647,-0.141402,0.9873,0.67208,0.638096,-0.141583,0.9938,0.72152,0.607896,-0.132839,0.9781,0.680973,0.626199,-0.247441,0.9823,0.66844,0.61903,-0.076856,0.9469,0.653744,0.62514,-0.113165,0.9622,0.706022,0.532532,-0.01764,0.9991,0.612401,0.615878,-0.257686,0.9989,0.612689,0.564932,0.078923,0.0011,0.495135,0.712735,-0.233819,0.0386,0.573147,0.689567,0.084767,0.0015,0.488966,0.812194,-0.114677,0.1852,0.575889,0.718519,0.076336,0.0034,0.478514,0.844157,-0.152757,0.1856,0.567692,0.725844,0.031946,0.0035,0.486906,0.840456,-0.147713,0.1932,0.56353,0.718803,0.065265,0.0035,0.500969,0.829081,-0.114507,0.1333,0.474383,0.414752,0.062927,0.9995,0.423185,0.455507,-0.063436,0.9997,0.493847,0.611363,0.047315,0.0079,0.465566,0.647121,0.109471,0.0285,0.481201,0.826594,0.126412,0.0187,0.469517,0.80929,0.317288,0.046,0.471765,0.853273,0.13729,0.0404,0.465133,0.831912,0.342371,0.0558,0.511862,0.888575,0.106813,0.0384,0.497768,0.876153,0.311204,0.0626
test/Bad Back/Bad Back (100).jpg,0,bad_back,0.361049,0.331776,-0.037316,0.9998,0.363322,0.3071,-0.072108,0.9996,0.366652,0.304999,-0.072373,0.9994,0.36966,0.303498,-0.072272,0.9996,0.363498,0.307562,-0.025302,0.9998,0.367248,0.30592,-0.025833,0.9998,0.371163,0.304603,-0.026019,0.9999,0.396782,0.298139,-0.150973,0.9995,0.398839,0.299735,0.059893,0.9998,0.377984,0.340722,-0.054888,0.9983,0.377997,0.342356,0.00336,0.9985,0.435705,0.35059,-0.255347,0.9991,0.460171,0.361281,0.212443,0.998,0.303159,0.410698,-0.333763,0.8564,0.328334,0.421616,0.212015,0.0275,0.180792,0.435049,-0.260351,0.6645,0.212167,0.435363,0.063827,0.0387,0.154583,0.450587,-0.30532,0.6662,0.184009,0.439124,0.047848,0.0557,0.150705,0.44257,-0.284892,0.6556,0.183521,0.437624,0.012423,0.056,0.163176,0.438169,-0.250665,0.5626,0.193883,0.437908,0.040766,0.0584,0.618578,0.555077,-0.137031,0.9997,0.615249,0.545174,0.13671,0.9997,0.438495,0.609822,-0.088023,0.6391,0.468058,0.617001,0.243961,0.0257,0.528087,0.776821,0.10309,0.6372,0.526996,0.768818,0.401316,0.0549,0.557728,0.804744,0.120789,0.7775,0.55593,0.802023,0.415739,0.1291,0.439334,0.823009,0.104491,0.6756,0.455606,0.81352,0.399631,0.0928
test/Bad Back/Bad Back (101).jpg,0,bad_back,0.361777,0.337195,-0.063766,0.9999,0.366771,0.310163,-0.100078,0.9998,0.369708,0.309336,-0.100332,0.9997,0.372545,0.308957,-0.100251,0.9998,0.367087,0.310216,-0.049799,0.9999,0.370552,0.309592,-0.050299,0.9999,0.374224,0.309402,-0.050465,0.9999,0.398931,0.308701,-0.184798,0.9998,0.401938,0.309929,0.042313,0.9999,0.377268,0.349762,-0.084197,0.9993,0.377231,0.351027,-0.02122,0.9993,0.442823,0.363394,-0.304228,0.9993,0.45287,0.363417,0.207018,0.9985,0.30085,0.422286,-0.392397,0.8951,0.311855,0.430476,0.201972,0.0373,0.180546,0.44128,-0.315094,0.7586,0.200474,0.438689,0.035818,0.0512,0.1511,0.453692,-0.365225,0.7594,0.168835,0.446054,0.016794,0.083,0.148958,0.445446,-0.345927,0.7525,0.166051,0.445735,-0.020327,0.084,0.159512,0.441713,-0.306235,0.6643,0.177211,0.443695,0.011109,0.0873,0.621609,0.566247,-0.15471,0.9996,0.611244,0.552237,0.154383,0.9997,0.437811,0.615644,-0.142526,0.7536,0.455112,0.61194,0.256268,0.035,0.530003,0.784768,0.050583,0.7641,0.528838,0.768732,0.40906,0.0796,0.560515,0.814841,0.068663,0.8271,0.559006,0.801078,0.423182,0.1721,0.439208,0.825272,0.04856,0.7858,0.457744,0.81065,0.409394,0.1345
test/Bad Back/Bad Back (102).jpg,0,bad_back,0.361301,0.349884,-0.01863,0.9998,0.367408,0.327689,-0.050842,0.9997,0.370571,0.326022,-0.051101,0.9995,0.373725,0.324702,-0.051002,0.9997,0.367402,0.327973,-0.003789,0.9998,0.370636,0.326566,-0.004316,0.9998,0.373924,0.325398,-0.004471,0.9999,0.401016,0.323455,-0.127807,0.9996,0.399559,0.323518,0.084132,0.9998,0.37878,0.36205,-0.037069,0.9985,0.378018,0.363367,0.02143,0.9988,0.439566,0.372794,-0.236532,0.9992,0.453859,0.37779,0.226612,0.9982,0.297706,0.432671,-0.311839,0.9172,0.312357,0.446313,0.216156,0.032,0.173892,0.455473,-0.245796,0.8021,0.19296,0.45731,0.061795,0.0519,0.147977,0.46937,-0.292631,0.7964,0.161122,0.464422,0.042591,0.0732,0.145106,0.458535,-0.273676,0.7852,0.158364,0.459769,0.008939,0.0742,0.156351,0.455568,-0.237285,0.703,0.171014,0.458956,0.038808,0.0756,0.622408,0.577841,-0.139644,0.9997,0.620011,0.570703,0.139358,0.9997,0.43427,0.612015,-0.133923,0.759,0.45381,0.602562,0.212642,0.0169,0.52918,0.779366,0.049284,0.7135,0.52616,0.760694,0.386866,0.0347,0.559385,0.809117,0.067607,0.8485,0.557539,0.793687,0.40379,0.1098,0.439391,0.821337,0.063524,0.7479,0.458944,0.80131,0.404828,0.0685
test/Bad Back/Bad Back (103).jpg,0,bad_back,0.361063,0.359706,-0.045158,0.9999,0.365699,0.334093,-0.079613,0.9998,0.368863,0.333098,-0.07986,0.9997,0.37177,0.332478,-0.079762,0.9998,0.366216,0.333416,-0.032064,0.9999,0.369869,0.332266,-0.032588,0.9999,0.373429,0.331559,-0.032742,0.9999,0.399375,0.330086,-0.16053,0.9997,0.398888,0.329394,0.05415,0.9999,0.377092,0.371223,-0.064415,0.999,0.376569,0.372535,-0.005064,0.9992,0.442614,0.385166,-0.26345,0.9994,0.458332,0.393461,0.20052,0.9987,0.298553,0.444063,-0.338343,0.9195,0.31365,0.447816,0.194309,0.0346,0.177355,0.461822,-0.271674,0.8114,0.197277,0.460472,0.040024,0.0557,0.152595,0.47556,-0.320743,0.8099,0.168647,0.469318,0.020958,0.0824,0.149732,0.467272,-0.301108,0.7997,0.165169,0.466367,-0.014727,0.0838,0.161191,0.465498,-0.263228,0.72,0.17612,0.46646,0.01666,0.085,0.621822,0.587562,-0.139593,0.9996,0.619692,0.573224,0.139332,0.9997,0.434306,0.613208,-0.133848,0.8008,0.455364,0.606103,0.216496,0.0209,0.527486,0.777411,0.056786,0.7545,0.525981,0.759692,0.385111,0.0422,0.558862,0.809763,0.07594,0.8611,0.557872,0.791353,0.401875,0.1207,0.439513,0.822264,0.076076,0.7828,0.454568,0.800833,0.405132,0.086
test/Bad Back/Bad Back (104).jpg,0,bad_back,0.362975,0.372143,-0.009666,0.9997,0.367083,0.347758,-0.042731,0.9995,0.369886,0.34602,-0.04299,0.9994,0.372494,0.344984,-0.042904,0.9995,0.367265,0.34763,0.002821,0.9998,0.370189,0.345867,0.002291,0.9998,0.373028,0.344616,0.002142,0.9999,0.396996,0.341606,-0.120494,0.9995,0.396745,0.340067,0.084347,0.9998,0.380602,0.383334,-0.028155,0.998,0.379717,0.384752,0.028323,0.9985,0.439514,0.394555,-0.226357,0.9994,0.46017,0.40111,0.224824,0.9985,0.301791,0.454263,-0.294745,0.9134,0.3232,0.456038,0.219526,0.0211,0.179751,0.471827,-0.22506,0.7988,0.208376,0.472146,0.071934,0.04,0.155808,0.485659,-0.270522,0.7969,0.178343,0.480348,0.05371,0.0589,0.154583,0.478532,-0.250308,0.7842,0.173978,0.47801,0.02019,0.0598,0.16474,0.476225,-0.215892,0.7012,0.183476,0.478127,0.049635,0.0595,0.625393,0.595449,-0.134964,0.9997,0.622908,0.581655,0.134693,0.9997,0.433693,0.613261,-0.119311,0.7443,0.45555,0.608356,0.196231,0.0134,0.528717,0.776343,0.081979,0.6734,0.523081,0.760919,0.37377,0.0284,0.559215,0.807508,0.102824,0.8338,0.554249,0.79162,0.391626,0.0982,0.4431,0.824566,0.110703,0.7217,0.448812,0.809445,0.399975,0.061
test/Bad Back/Bad Back (105).jpg,0,bad_back,0.36246,0.378985,-0.031572,0.9998,0.366654,0.354048,-0.065033,0.9996,0.369708,0.352407,-0.065278,0.9996,0.372808,0.351277,-0.065197,0.9996,0.366385,0.354071,-0.020058,0.9998,0.369542,0.352289,-0.020565,0.9999,0.372819,0.35079,-0.020718,0.9999,0.397516,0.348228,-0.141142,0.9996,0.397064,0.346666,0.061932,0.9999,0.381362,0.390387,-0.049092,0.9987,0.379968,0.391681,0.00695,0.999,0.445381,0.397251,-0.244809,0.9994,0.457581,0.410717,0.208403,0.999,0.306804,0.464017,-0.326063,0.9379,0.326051,0.472562,0.216082,0.046,0.171722,0.48471,-0.274395,0.8794,0.204394,0.497932,0.074562,0.1099,0.150703,0.50431,-0.325195,0.8734,0.17526,0.510088,0.058155,0.1524,0.14702,0.501814,-0.303436,0.8669,0.169564,0.509094,0.018787,0.1574,0.159067,0.495755,-0.265564,0.8038,0.179167,0.507004,0.050402,0.153,0.630785,0.595104,-0.135069,0.9995,0.618521,0.57909,0.134795,0.9995,0.433108,0.611365,-0.144988,0.7627,0.446915,0.597095,0.182789,0.0153,0.532241,0.776369,0.030551,0.6765,0.523451,0.757468,0.339209,0.0243,0.5629,0.802145,0.048893,0.8309,0.555403,0.783026,0.355459,0.0826,0.442441,0.822212,0.059417,0.7351,0.451708,0.805918,0.368037,0.0563
test/Bad Back/Bad Back (106).jpg,0,bad_back,0.360701,0.382764,-0.08243,0.9999,0.364664,0.358745,-0.117349,0.9999,0.367833,0.357497,-0.117587,0.9998,0.370757,0.356359,-0.117488,0.9999,0.36472,0.358332,-0.070212,0.9999,0.368393,0.356739,-0.070688,1.0,0.372259,0.355185,-0.07082,1.0,0.397627,0.353259,-0.196971,0.9999,0.397407,0.35191,0.016365,1.0,0.379064,0.394525,-0.101272,0.9995,0.378231,0.395618,-0.0421,0.9996,0.442548,0.407245,-0.296108,0.9994,0.456143,0.414197,0.169984,0.9992,0.300512,0.472576,-0.370217,0.9348,0.323425,0.475176,0.171041,0.0491,0.166177,0.495921,-0.303568,0.8759,0.204587,0.505492,0.026271,0.1082,0.140458,0.51764,-0.356199,0.8672,0.176684,0.517911,0.0098,0.1581,0.13718,0.517461,-0.334364,0.8594,0.169221,0.520551,-0.032647,0.1626,0.150861,0.511029,-0.29472,0.7915,0.17835,0.517869,0.000699,0.1597,0.626916,0.599301,-0.13848,0.9997,0.618246,0.579004,0.138208,0.9997,0.432123,0.611248,-0.144993,0.8101,0.451588,0.598251,0.202306,0.023,0.527576,0.778633,0.043804,0.7764,0.521094,0.759353,0.368397,0.0453,0.557346,0.80725,0.062579,0.8562,0.552218,0.792973,0.385434,0.1161,0.438224,0.823122,0.063533,0.8014,0.453711,0.806729,0.390774,0.0956
test/Bad Back/Bad Back (107).jpg,0,bad_back,0.362326,0.388486,-0.077714,1.0,0.3649,0.363284,-0.113569,0.9999,0.367881,0.362212,-0.113805,0.9999,0.370731,0.361441,-0.113717,0.9999,0.365203,0.362503,-0.06632,1.0,0.368815,0.36097,-0.066779,1.0,0.372722,0.359729,-0.0669,1.0,0.398313,0.357941,-0.194344,0.9999,0.398206,0.356729,0.019726,1.0,0.379802,0.399314,-0.096434,0.9996,0.379369,0.400644,-0.037029,0.9996,0.443497,0.410849,-0.296186,0.9996,0.460647,0.418272,0.180904,0.9992,0.299768,0.478118,-0.369282,0.9458,0.323294,0.482853,0.183773,0.0576,0.171334,0.504092,-0.302309,0.9153,0.205389,0.515322,0.039255,0.1313,0.139779,0.527672,-0.355673,0.9067,0.179352,0.52732,0.023864,0.1904,0.136484,0.528202,-0.331755,0.8996,0.171823,0.529438,-0.018421,0.193,0.152579,0.521973,-0.292483,0.8466,0.180376,0.526343,0.013912,0.1881,0.623269,0.599656,-0.14169,0.9997,0.61886,0.5803,0.141382,0.9997,0.433744,0.616477,-0.140628,0.8502,0.456455,0.602814,0.231791,0.0288,0.527729,0.783057,0.064077,0.8211,0.526989,0.75968,0.418452,0.0544,0.556833,0.811532,0.084801,0.8753,0.556715,0.79063,0.438023,0.1341,0.44069,0.820144,0.091019,0.8309,0.459167,0.799268,0.450813,0.1094
